Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/29/2016,"CHEVRON 0090319 VALLEJO CA                   07/28",-20.12,DEBIT_CARD,1496.26,,
DEBIT,07/28/2016,"MCDONALD'S F15395 BENICIA CA                 07/27",-1.09,DEBIT_CARD,1516.38,,
DEBIT,07/28/2016,"CHEVRON 0090319 VALLEJO CA                   07/27",-21.06,DEBIT_CARD,1517.47,,
DEBIT,07/28/2016,"CHEVRON 0090319 VALLEJO CA                   07/27",-6.03,DEBIT_CARD,1538.53,,
DEBIT,07/28/2016,"WINGSTOP 0324 VALLEJO CA                     07/26",-3.90,DEBIT_CARD,1544.56,,
DEBIT,07/28/2016,"MCDONALD'S F22138 VALLEJO CA                 07/26",-2.93,DEBIT_CARD,1548.46,,
DEBIT,07/27/2016,"BART-CLIPPER N BERKELE BERKELEY CA           07/27",-20.00,DEBIT_CARD,1551.39,,
DEBIT,07/27/2016,"FUDDRUCKERS 7161 CONCORD CA                  07/26",-2.67,DEBIT_CARD,1571.39,,
DEBIT,07/27/2016,"MCDONALD'S F15395 BENICIA CA                 07/26",-9.62,DEBIT_CARD,1574.06,,
DEBIT,07/26/2016,"CHEVRON 0090319 VALLEJO CA                   07/26",-25.19,DEBIT_CARD,1583.68,,
DEBIT,07/26/2016,"JAMBA JUICE 0432 BENICIA CA                  07/25",-6.69,DEBIT_CARD,1608.87,,
DEBIT,07/26/2016,"BENICIA HEALTH AND FITN BENICIA CA           07/25",-7.00,DEBIT_CARD,1615.56,,
DEBIT,07/26/2016,"MCDONALD'S F22138 VALLEJO CA                 07/24",-2.93,DEBIT_CARD,1622.56,,
DEBIT,07/25/2016,"IN-N-OUT BURGER #274 PLEASANT HILL CA        07/24",-4.12,DEBIT_CARD,1625.49,,
DEBIT,07/25/2016,"Wal-Mart Super Cente AMERICAN CANY CA        07/23",-28.05,DEBIT_CARD,1629.61,,
DEBIT,07/25/2016,"CHEVRON 0090319 VALLEJO CA                   07/23",-29.94,DEBIT_CARD,1657.66,,
DEBIT,07/25/2016,"CHICK-FIL-A #03343 VALLEJO CA                07/22",-1.84,DEBIT_CARD,1687.60,,
DEBIT,07/25/2016,"CENTURY THEATRES 445 VALLEJO CA              07/22",-17.00,DEBIT_CARD,1689.44,,
DEBIT,07/25/2016,"QUICKLY VALLEJO CA                           07/22",-1.85,DEBIT_CARD,1706.44,,
DEBIT,07/25/2016,"CHIPOTLE 0697 BERKELEY CA                    07/22",-9.03,DEBIT_CARD,1708.29,,
DEBIT,07/25/2016,"TEA FEVER BERKELEY CA                        07/22",-8.27,DEBIT_CARD,1717.32,,
DEBIT,07/25/2016,"MCDONALD'S F22138 VALLEJO CA                 07/21",-4.78,DEBIT_CARD,1725.59,,
DEBIT,07/22/2016,"BONJOUR BAKERY AND CAFE CONCORD CA           07/20",-4.09,DEBIT_CARD,1730.37,,
DEBIT,07/21/2016,"SHERWIN WILLIAMS 70806 VALLEJO CA    408367  07/21",-53.27,DEBIT_CARD,1734.46,,
DEBIT,07/21/2016,"VENMO 855-812-4430 NY                        07/20",-200.00,DEBIT_CARD,1787.73,,
DEBIT,07/21/2016,"STARBUCKS STORE 13215 BENICIA CA             07/19",-2.25,DEBIT_CARD,1987.73,,
DEBIT,07/20/2016,"99 MARKET #1073 1795 W CONCORD CA    919884  07/20",-1.34,DEBIT_CARD,1989.98,,
DEBIT,07/20/2016,"ARCO PAYPOINT PINOLE CA                      07/20",-29.45,DEBIT_CARD,1991.32,,
DEBIT,07/20/2016,"MCDONALD'S F15395 BENICIA CA                 07/19",-2.70,DEBIT_CARD,2020.77,,
DEBIT,07/20/2016,"MCDONALD'S F22138 VALLEJO CA                 07/18",-2.17,DEBIT_CARD,2023.47,,
DEBIT,07/19/2016,"WM SUPERC Wal-Mart S AMERICAN CANY CA        07/19",-21.47,DEBIT_CARD,2025.64,,
DEBIT,07/19/2016,"TARGET T- 904 Admiral Vallejo CA             07/18",-6.37,DEBIT_CARD,2047.11,,
DEBIT,07/19/2016,"QUICKLY VALLEJO CA                           07/19",-3.14,DEBIT_CARD,2053.48,,
DEBIT,07/19/2016,"MICHAELS STORES INC167 VALLEJO CA            07/18",-4.33,DEBIT_CARD,2056.62,,
DEBIT,07/19/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        07/18",-249.00,DEBIT_CARD,2060.95,,
DEBIT,07/18/2016,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.00,ACH_DEBIT,2309.95,,
DEBIT,07/18/2016,"7-ELEVEN PINOLE CA                           07/17",-0.99,DEBIT_CARD,2319.95,,
DEBIT,07/18/2016,"CHEVRON 0092661 BENICIA CA                   07/17",-26.97,DEBIT_CARD,2320.94,,
DEBIT,07/18/2016,"TACO BELL 30752 BENICIA CA                   07/16",-25.60,DEBIT_CARD,2347.91,,
DEBIT,07/18/2016,"MCDONALD'S F22138 VALLEJO CA                 07/16",-1.09,DEBIT_CARD,2373.51,,
DEBIT,07/18/2016,"JAY MART BERKELEY CA                         07/15",-5.49,DEBIT_CARD,2374.60,,
DEBIT,07/15/2016,"99 MARKET 1795 WILLOW CONCORD CA             07/15",-4.97,DEBIT_CARD,2380.09,,
DEBIT,07/15/2016,"Amazon.com AMZN.COM/BILL WA                  07/15",-11.88,DEBIT_CARD,2385.06,,
DEBIT,07/15/2016,"BALDOS MEXICAN FOOD VALLEJO CA               07/14",-3.00,DEBIT_CARD,2396.94,,
DEBIT,07/15/2016,"BALDOS MEXICAN FOOD VALLEJO CA               07/14",-10.74,DEBIT_CARD,2399.94,,
DEBIT,07/15/2016,"CHEVRON 0090319 VALLEJO CA                   07/14",-32.02,DEBIT_CARD,2410.68,,
DEBIT,07/15/2016,"MCDONALD'S F2841 PLEASANT HILL CA            07/14",-1.09,DEBIT_CARD,2442.70,,
DEBIT,07/15/2016,"NATION'S GIANT HAM BENICIA CA                07/13",-4.94,DEBIT_CARD,2443.79,,
DEBIT,07/14/2016,"RITE AID STORE - 5910 BENICIA CA     082313  07/13",-5.42,DEBIT_CARD,2448.73,,
DEBIT,07/14/2016,"7-ELEVEN BENICIA CA                          07/13",-3.15,DEBIT_CARD,2454.15,,
DEBIT,07/13/2016,"7-ELEVEN BENICIA CA                          07/13",-2.16,DEBIT_CARD,2457.30,,
DEBIT,07/13/2016,"CHEVRON 0092661 BENICIA CA                   07/12",-24.95,DEBIT_CARD,2459.46,,
DEBIT,07/11/2016,"103 AMERICAN CANYON AMERICAN CANY CA 963249  07/11",-10.39,DEBIT_CARD,2484.41,,
DEBIT,07/11/2016,"TM *MAD DECENT BLOCK 415-421-8497 CA         07/11",-82.35,DEBIT_CARD,2494.80,,
DEBIT,07/11/2016,"SQ *UCAFE, BERKELEY Berkeley CA              07/10",-3.87,DEBIT_CARD,2577.15,,
DEBIT,07/11/2016,"PANDA EXPRESS, INC BENICIA CA                07/10",-7.93,DEBIT_CARD,2581.02,,
DEBIT,07/11/2016,"CHEVRON 0090319 VALLEJO CA                   07/10",-34.64,DEBIT_CARD,2588.95,,
DEBIT,07/11/2016,"NATION'S GIANT HAM BENICIA CA                07/08",-2.55,DEBIT_CARD,2623.59,,
DEBIT,07/11/2016,"PACIFICA PIZZA BENECIA BENICIA CA            07/08",-6.50,DEBIT_CARD,2626.14,,
DEBIT,07/11/2016,"PURPLE KOW BERKELEY CA                       07/08",-5.18,DEBIT_CARD,2632.64,,
DEBIT,07/08/2016,"CHIPOTLE 2315 VALLEJO CA                     07/07",-8.36,DEBIT_CARD,2637.82,,
DEBIT,07/08/2016,"CARL'S JR 7106 BENICIA CA                    07/07",-2.81,DEBIT_CARD,2646.18,,
DEBIT,07/08/2016,"TACO BELL #031450 PLEASANT HILL CA           07/07",-1.09,DEBIT_CARD,2648.99,,
DEBIT,07/08/2016,"BIG 5 SPORTING GOODS PLEASANT HILL CA        07/07",-42.29,DEBIT_CARD,2650.08,,
DEBIT,07/08/2016,"CHARLEYS PHILLY STEAKS CONCORD CA            07/07",-2.39,DEBIT_CARD,2692.37,,
DEBIT,07/08/2016,"MCDONALD'S F22138 VALLEJO CA                 07/06",-5.87,DEBIT_CARD,2694.76,,
DEBIT,07/07/2016,"CHEVRON 0090319 VALLEJO CA                   07/06",-27.83,DEBIT_CARD,2700.63,,
DEBIT,07/05/2016,"BART-CLIPPER N BERKELE BERKELEY CA           07/05",-20.00,DEBIT_CARD,2728.46,,
DEBIT,07/05/2016,"CHEVRON 0090319 VALLEJO CA                   07/02",-29.19,DEBIT_CARD,2748.46,,
DEBIT,07/05/2016,"TACO BELL 27438 FAIRFIELD CA                 07/01",-2.49,DEBIT_CARD,2777.65,,
DEBIT,07/05/2016,"IN-N-OUT BURGER #125 FAIRFIELD CA            07/01",-6.52,DEBIT_CARD,2780.14,,
DEBIT,07/01/2016,"SAFEWAY  STORE  0774 BENICIA CA      288321  06/30",-2.99,DEBIT_CARD,2786.66,,
DEBIT,07/01/2016,"BURGER KING #3908 BENICIA CA                 06/30",-6.60,DEBIT_CARD,2789.65,,
DEBIT,07/01/2016,"BURGER KING #3908 BENICIA CA                 06/30",-3.25,DEBIT_CARD,2796.25,,
DEBIT,06/30/2016,"MCDONALD'S F15395 BENICIA CA                 06/29",-3.90,DEBIT_CARD,2799.50,,
DEBIT,06/29/2016,"WINGSTOP 0324 VALLEJO CA                     06/28",-12.16,DEBIT_CARD,2803.40,,
DEBIT,06/29/2016,"MCDONALD'S F22138 VALLEJO CA                 06/28",-2.28,DEBIT_CARD,2815.56,,
CREDIT,06/29/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",104.04,ACH_CREDIT,2817.84,,
DEBIT,06/28/2016,"PAYPAL           INST XFER  CMASON2015      WEB ID: PAYPALSI77",-8.99,ACH_DEBIT,2713.80,,
DEBIT,06/28/2016,"SAFEWAY STORE  1883 AMERICAN CANY CA 261373  06/28",-5.99,DEBIT_CARD,2722.79,,
DEBIT,06/28/2016,"CHEVRON 0090319 VALLEJO CA                   06/27",-31.56,DEBIT_CARD,2728.78,,
DEBIT,06/28/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/27",-4.11,DEBIT_CARD,2760.34,,
DEBIT,06/27/2016,"ISLAND PACIFIC SUPERMA VALLEJO CA    023818  06/27",-9.99,DEBIT_CARD,2764.45,,
DEBIT,06/27/2016,"PAYLESS SHOESOURCE VALLEJO CA                06/27",-43.44,DEBIT_CARD,2774.44,,
DEBIT,06/27/2016,"TARGET T- 904 Admiral Vallejo CA             06/27",-88.75,DEBIT_CARD,2817.88,,
DEBIT,06/27/2016,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/27",-31.38,DEBIT_CARD,2906.63,,
DEBIT,06/27/2016,"MCDONALD'S F15395 BENICIA CA                 06/25",-1.09,DEBIT_CARD,2938.01,,
DEBIT,06/27/2016,"WETZEL'S PRETZELS CONCORD CA                 06/25",-5.99,DEBIT_CARD,2939.10,,
DEBIT,06/27/2016,"CENTURY THEATRES 445 VALLEJO CA              06/24",-11.50,DEBIT_CARD,2945.09,,
DEBIT,06/27/2016,"JAMBA JUICE 0432 BENICIA CA                  06/24",-6.69,DEBIT_CARD,2956.59,,
DEBIT,06/27/2016,"IKEA EAST BAY EMERYVILLE CA                  06/23",-12.50,DEBIT_CARD,2963.28,,
DEBIT,06/24/2016,"SQ *SWEETHEART CAFE Berkeley CA              06/24",-2.89,DEBIT_CARD,2975.78,,
DEBIT,06/24/2016,"CHEVRON 0090319 VALLEJO CA                   06/23",-23.49,DEBIT_CARD,2978.67,,
DEBIT,06/23/2016,"COSTCO WHSE #0132 VALLEJO CA         470670  06/23",-4.33,DEBIT_CARD,3002.16,,
DEBIT,06/23/2016,"SORABOL EMERYVILLE EMERYVILLE CA             06/21",-13.09,DEBIT_CARD,3006.49,,
DEBIT,06/22/2016,"ICI ICE CREAM LLC BERKELEY CA                06/21",-3.25,DEBIT_CARD,3019.58,,
DEBIT,06/22/2016,"CHEVRON 0090319 VALLEJO CA                   06/21",-32.10,DEBIT_CARD,3022.83,,
DEBIT,06/22/2016,"CHICK-FIL-A #03343 VELLEJO CA                06/20",-8.13,DEBIT_CARD,3054.93,,
DEBIT,06/22/2016,"Debit for $33,800.00, an item posted in error  on 06/20/2016.  Our reference number ESDS160621-5805, Deposit Location Number 1518246183.",-33800.00,MISC_DEBIT,3063.06,,
DEBIT,06/21/2016,"ATM WITHDRAWAL                       001253  06/21972 ADMIR",-100.00,ATM,36863.06,,
DEBIT,06/20/2016,"CENTURY THEATRES 445 VALLEJO CA              06/18",-11.50,DEBIT_CARD,36963.06,,
DEBIT,06/20/2016,"QUICKLY VALLEJO CA                           06/19",-4.54,DEBIT_CARD,36974.56,,
DEBIT,06/20/2016,"SEAFOOD CITY MARKET VALLEJO CA               06/18",-25.15,DEBIT_CARD,36979.10,,
DEBIT,06/20/2016,"HOLE IN THE WALL BURG SANTA MONICA CA        06/18",-10.90,DEBIT_CARD,37004.25,,
DEBIT,06/20/2016,"SQ *MISSION BAY SPORTS San Diego CA          06/17",-49.50,DEBIT_CARD,37015.15,,
DEBIT,06/20/2016,"PHILS BBQ SAN DIEGO CA                       06/17",-17.44,DEBIT_CARD,37064.65,,
DSLIP,06/20/2016,"DEPOSIT  ID NUMBER 246183",33800.00,DEPOSIT,37082.09,,
DEBIT,06/17/2016,"CHIPOTLE 0107 LA JOLLA CA                    06/16",-6.26,DEBIT_CARD,3282.09,,
DEBIT,06/16/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   900882  06/16",-1.99,DEBIT_CARD,3288.35,,
DEBIT,06/16/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   544166  06/16",-1.99,DEBIT_CARD,3290.34,,
DEBIT,06/15/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/15",-3.59,DEBIT_CARD,3292.33,,
DEBIT,06/15/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/15",-7.09,DEBIT_CARD,3295.92,,
DEBIT,06/15/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/15",-5.29,DEBIT_CARD,3303.01,,
DEBIT,06/15/2016,"JAMBA JUICE #16 LA JOLLA CA                  06/14",-6.29,DEBIT_CARD,3308.30,,
DEBIT,06/15/2016,"JAMBA JUICE #16 LA JOLLA CA                  06/14",-5.00,DEBIT_CARD,3314.59,,
CREDIT,06/15/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",197.93,ACH_CREDIT,3319.59,,
DEBIT,06/14/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/14",-3.38,DEBIT_CARD,3121.66,,
DEBIT,06/14/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   936383  06/13",-2.38,DEBIT_CARD,3125.04,,
DEBIT,06/14/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/12",-4.50,DEBIT_CARD,3127.42,,
DEBIT,06/13/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/13",-7.26,DEBIT_CARD,3131.92,,
DEBIT,06/13/2016,"CHIPOTLE 0107 LA JOLLA CA                    06/11",-8.32,DEBIT_CARD,3139.18,,
DEBIT,06/13/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/10",-9.10,DEBIT_CARD,3147.50,,
DEBIT,06/13/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/10",-5.00,DEBIT_CARD,3156.60,,
DEBIT,06/13/2016,"UCSD-BOOKSTORES LA JOLLA CA                  06/10",-2.97,DEBIT_CARD,3161.60,,
DEBIT,06/13/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/09",-9.90,DEBIT_CARD,3164.57,,
CREDIT,06/13/2016,"Online Transfer from CHK ...5521 transaction#: 5458949402",1400.00,ACCT_XFER,3174.47,,
DEBIT,06/10/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/10",-4.85,DEBIT_CARD,1774.47,,
DEBIT,06/10/2016,"UCSD-BOOKSTORES LA JOLLA CA                  06/09",-3.98,DEBIT_CARD,1779.32,,
DEBIT,06/10/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/08",-4.50,DEBIT_CARD,1783.30,,
DEBIT,06/09/2016,"SANTORINI GREEK ISLAND LA JOLLA CA           06/09",-8.50,DEBIT_CARD,1787.80,,
DEBIT,06/09/2016,"SHOGUN OF LA JOLLA LA JOLLA CA               06/06",-1.83,DEBIT_CARD,1796.30,,
DEBIT,06/08/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   163189  06/08",-2.50,DEBIT_CARD,1798.13,,
DEBIT,06/08/2016,"SPRINKLES CUPCAKES 008 LA JOLLA CA           06/07",-8.44,DEBIT_CARD,1800.63,,
DEBIT,06/08/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/06",-4.50,DEBIT_CARD,1809.07,,
DEBIT,06/08/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/06",-9.15,DEBIT_CARD,1813.57,,
DEBIT,06/07/2016,"Regents of UC    QuikPAY EP 367122627       WEB ID: 1364199567",-0.90,ACH_DEBIT,1822.72,,
DEBIT,06/07/2016,"RALPHS    8657 VIL LA LA JOLLA CA            06/07",-6.38,DEBIT_CARD,1823.62,,
DEBIT,06/07/2016,"UCSD AUDREY'S LA JOLLA CA                    06/07",-2.15,DEBIT_CARD,1830.00,,
DEBIT,06/07/2016,"UCSD-BOOKSTORES LA JOLLA CA                  06/06",-2.79,DEBIT_CARD,1832.15,,
DEBIT,06/06/2016,"Netflix.com Netflix.com CA                   06/04",-11.99,DEBIT_CARD,1834.94,,
DEBIT,06/06/2016,"TRADER JOE'S # 020 LA JOLLA CA       940243  06/05",-4.59,DEBIT_CARD,1846.93,,
DEBIT,06/06/2016,"DOMINO'S 8407 310-473-6575 CA                06/05",-12.94,DEBIT_CARD,1851.52,,
DEBIT,06/06/2016,"CHIPOTLE 0107 LA JOLLA CA                    06/04",-8.32,DEBIT_CARD,1864.46,,
DEBIT,06/06/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   807101  06/04",-4.48,DEBIT_CARD,1872.78,,
DEBIT,06/06/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/02",-4.50,DEBIT_CARD,1877.26,,
DEBIT,06/06/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/02",-8.55,DEBIT_CARD,1881.76,,
DEBIT,06/03/2016,"R AND V MANAGEME RENTAL     126357408       WEB ID: 1330808047",-405.03,ACH_DEBIT,1890.31,,
DEBIT,06/03/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 06/01",-8.87,DEBIT_CARD,2295.34,,
DEBIT,06/02/2016,"DEPOSIT ITEM RETURNED FEE: 01 NSF 1st        099022638                                       # OF ITEMS00001CK#:0000000112                                        DEP AMT0000140000     DEP DATE053116CK AMT0000001200                                                                               SVC FEE001200",-12.00,FEE_TRANSACTION,2304.21,,
DEBIT,06/02/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   640089  06/02",-2.99,DEBIT_CARD,2316.21,,
DEBIT,06/02/2016,"UCSD AUDREY'S LA JOLLA CA                    06/01",-4.30,DEBIT_CARD,2319.20,,
DEBIT,06/02/2016,"UCSD HDH CANYON VISTA LA JOLLA CA            06/01",-1.39,DEBIT_CARD,2323.50,,
DEBIT,06/02/2016,"DEPOSITED ITEM RETURNED       NSF 1st        099022638                                       # OF ITEMS00001CK#:0000000112                                        DEP AMT0000140000     DEP DATE053116CK AMT0000140000                                                                               SVC FEE001200",-1400.00,DEPOSIT_RETURN,2324.89,,
DEBIT,06/01/2016,"LEMONGRASS ASIAN PLATE LA JOLLA CA           06/01",-8.37,DEBIT_CARD,3724.89,,
DEBIT,06/01/2016,"VILLAGE SQUARE APT LA JOLLA CA               05/30",-10.00,DEBIT_CARD,3733.26,,
CREDIT,06/01/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",228.38,ACH_CREDIT,3743.26,,
DEBIT,05/31/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   817976  05/30",-10.18,DEBIT_CARD,3514.88,,
DEBIT,05/31/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/28",-4.50,DEBIT_CARD,3525.06,,
DEBIT,05/31/2016,"LA JOLLA VILLAGE SMILES LAJOLLA CA           05/27",-28.90,DEBIT_CARD,3529.56,,
DSLIP,05/31/2016,"REMOTE ONLINE DEPOSIT #          1",1400.00,CHECK_DEPOSIT,3558.46,1,
DEBIT,05/27/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   132530  05/27",-3.00,DEBIT_CARD,2158.46,,
DEBIT,05/27/2016,"PANDA EXPRESS #786 LA JOLLA CA               05/26",-6.26,DEBIT_CARD,2161.46,,
DEBIT,05/27/2016,"PANDA EXPRESS #786 LA JOLLA CA               05/26",-8.69,DEBIT_CARD,2167.72,,
DEBIT,05/27/2016,"UCSD HDH PINES LA JOLLA CA                   05/26",-5.90,DEBIT_CARD,2176.41,,
DEBIT,05/26/2016,"UC SAN DIEGO LA JOLLA CA             624288  05/26",-2.49,DEBIT_CARD,2182.31,,
DEBIT,05/26/2016,"JAMBA JUICE #371 LA JOLLA CA                 05/25",-6.29,DEBIT_CARD,2184.80,,
DEBIT,05/26/2016,"YOGURT WORLD MIRA MESA SAN DIEGO CA          05/25",-4.84,DEBIT_CARD,2191.09,,
DEBIT,05/26/2016,"UCSD AUDREY'S LA JOLLA CA                    05/25",-2.50,DEBIT_CARD,2195.93,,
DEBIT,05/26/2016,"UCSD HDH CANYON VISTA LA JOLLA CA            05/25",-1.98,DEBIT_CARD,2198.43,,
DEBIT,05/25/2016,"BURGER KING #16576 LA JOLLA CA               05/24",-5.40,DEBIT_CARD,2200.41,,
DEBIT,05/25/2016,"0671 ROUND TABLE PIZZA LA JOLLA CA           05/24",-3.51,DEBIT_CARD,2205.81,,
DEBIT,05/24/2016,"ROOSTERTEETH.COM ROOSTERTEETH. TX            05/23",-15.99,DEBIT_CARD,2209.32,,
DEBIT,05/23/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/21",-4.50,DEBIT_CARD,2225.31,,
DEBIT,05/23/2016,"UBER   *MAY21 US 42AB 866-576-1039 CA        05/21",-5.72,DEBIT_CARD,2229.81,,
DEBIT,05/23/2016,"UCB SUMMER SESSIONS-I 510-642-9301 CA        05/21",-1981.00,DEBIT_CARD,2235.53,,
DEBIT,05/23/2016,"UCSD HDH CANYON VISTA LA JOLLA CA            05/20",-1.99,DEBIT_CARD,4216.53,,
DEBIT,05/23/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/19",-4.50,DEBIT_CARD,4218.52,,
DEBIT,05/23/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/19",-9.84,DEBIT_CARD,4223.02,,
DEBIT,05/20/2016,"JAMBA JUICE #371 LA JOLLA CA                 05/19",-6.29,DEBIT_CARD,4232.86,,
DEBIT,05/20/2016,"0671 ROUND TABLE PIZZA LA JOLLA CA           05/19",-2.43,DEBIT_CARD,4239.15,,
DEBIT,05/20/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/18",-4.50,DEBIT_CARD,4241.58,,
DEBIT,05/20/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/18",-4.50,DEBIT_CARD,4246.08,,
DEBIT,05/19/2016,"SANTORINI GREEK ISLAND LA JOLLA CA           05/19",-8.61,DEBIT_CARD,4250.58,,
CREDIT,05/18/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",192.85,ACH_CREDIT,4259.19,,
DEBIT,05/16/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   709210  05/14",-2.79,DEBIT_CARD,4066.34,,
DEBIT,05/13/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   831233  05/12",-6.67,DEBIT_CARD,4069.13,,
DEBIT,05/13/2016,"UCSD HDH CANYON VISTA LA JOLLA CA            05/12",-1.35,DEBIT_CARD,4075.80,,
DEBIT,05/12/2016,"COLDSTONE #20053 SAN DIEGO CA                05/11",-6.04,DEBIT_CARD,4077.15,,
DEBIT,05/12/2016,"PARCHMENT - UNIV DOCS 480-719-1646 AZ        05/12",-17.75,DEBIT_CARD,4083.19,,
DEBIT,05/11/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   945037  05/10",-23.19,DEBIT_CARD,4100.94,,
DEBIT,05/11/2016,"UCSD HDH PINES LA JOLLA CA                   05/10",-4.95,DEBIT_CARD,4124.13,,
DEBIT,05/10/2016,"SANTORINI GREEK ISLAND LA JOLLA CA           05/10",-6.45,DEBIT_CARD,4129.08,,
DEBIT,05/09/2016,"STARBUCKS CARD RELOAD 800-782-7282 WA        05/08",-10.00,DEBIT_CARD,4135.53,,
DEBIT,05/09/2016,"STARBUCKS #00644 LA JOL La Jolla CA          05/06",-5.00,DEBIT_CARD,4145.53,,
DEBIT,05/09/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 05/05",-9.08,DEBIT_CARD,4150.53,,
DEBIT,05/09/2016,"UCSD BOX OFFICE PRICE C LA JOLLA CA          05/04",-60.90,DEBIT_CARD,4159.61,,
DEBIT,05/06/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   512824  05/05",-7.17,DEBIT_CARD,4220.51,,
DEBIT,05/05/2016,"NETFLIX.COM 866-579-7172 CA                  05/04",-11.99,DEBIT_CARD,4227.68,,
DEBIT,05/05/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   534502  05/05",-4.48,DEBIT_CARD,4239.67,,
DEBIT,05/05/2016,"UCSD HDH CANYON VISTA LA JOLLA CA            05/04",-6.94,DEBIT_CARD,4244.15,,
DEBIT,05/04/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   947352  05/03",-1.49,DEBIT_CARD,4251.09,,
DEBIT,05/04/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   734000  05/03",-6.76,DEBIT_CARD,4252.58,,
DEBIT,05/04/2016,"UCSD HDH PINES LA JOLLA CA                   05/03",-2.95,DEBIT_CARD,4259.34,,
CREDIT,05/04/2016,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",250.37,ACH_CREDIT,4262.29,,
DEBIT,05/03/2016,"TWC*TIME WARNER CABLE 888-TWCABLE CA         05/03",-34.99,DEBIT_CARD,4011.92,,
DEBIT,05/03/2016,"R AND V MANAGEME RENTAL     123198556       WEB ID: 1330808047",-702.42,ACH_DEBIT,4046.91,,
DEBIT,05/02/2016,"SAN DIEGO EVENT CATERIN SAN DIEGO CA         04/30",-8.50,DEBIT_CARD,4749.33,,
DEBIT,05/02/2016,"UCSD HDH EARLS PLACE LA JOLLA CA             04/29",-2.97,DEBIT_CARD,4757.83,,
DEBIT,05/02/2016,"TAPIOCA EXPRESS SAN DIEGO CA                 04/28",-8.80,DEBIT_CARD,4760.80,,
DEBIT,04/29/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   902252  04/28",-2.69,DEBIT_CARD,4769.60,,
DEBIT,04/29/2016,"LEMONGRASS ASIAN PLATE LA JOLLA CA           04/28",-16.20,DEBIT_CARD,4772.29,,
DEBIT,04/29/2016,"Amazon.com AMZN.COM/BILL WA                  04/29",-8.63,DEBIT_CARD,4788.49,,
DEBIT,04/29/2016,"Amazon.com AMZN.COM/BILL WA                  04/28",-11.92,DEBIT_CARD,4797.12,,
DEBIT,04/28/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   932946  04/28",-9.24,DEBIT_CARD,4809.04,,
DEBIT,04/28/2016,"RALPHS 8657 VIL LA JOL LA JOLLA CA   715187  04/27",-3.68,DEBIT_CARD,4818.28,,
